Category,Region,Subject
Famous site,Africa,Ile-Ife
Famous site,Africa,Old Oyo / Oyo-Ile
Famous site,Africa,Kano City Walls
Famous site,Africa,Igbo-Ukwu
Famous site,Africa,Begho/Bighu
Famous site,Africa,Tripoli
Famous site,Africa,Meknes
Famous site,Africa,Cairo
Famous site,Africa,Massawa
Famous site,Africa,Suakin
Famous site,Africa,Sennar
Famous site,Africa,Harar
Famous site,Africa,Castle of Good Hope
Famous site,Africa,Cape Town
Famous site,Africa,Mombasa
Famous site,Africa,Zanzibar Stone Town
Famous site,Africa,Luanda
Famous site,Africa,Elmina Castle
Famous site,Africa,Zaria/Zazzau
Famous site,Africa,Ngazargamu
Famous site,Africa,Agadez
Famous site,Africa,Benin City
Famous site,Africa,Abomey
Famous site,Africa,Bunce Island
Famous site,Africa,Victoria Falls
Famous site,Africa,Mount Kilimanjaro
Famous site,Africa,Serengeti Plains
Famous site,Africa,Ngorongoro Crater
Famous site,Africa,Okavango Delta
Famous site,Africa,Namib Desert
Famous site,Africa,Drakensberg Mountains
Famous site,Africa,Table Mountain
Famous site,Africa,Sossusvlei
Famous site,Africa,Fish River Canyon
Famous site,Africa,Mount Kenya
Famous site,Africa,Great Rift Valley
Famous site,Africa,Lake Victoria
Famous site,Africa,Lake Tanganyika
Famous site,Africa,Lake Malawi/Nyasa
Famous site,Africa,Avenue of the Baobabs
Famous site,Africa,Simien Mountains
Famous site,Africa,"Suez Canal (Egypt, 1869)"
Famous site,Africa,"Aswan High Dam (Egypt, 1970)"
Famous site,Africa,Cairo Tower (1961)
Famous site,Africa,"Heliopolis garden city (Cairo, 1905–1911)"
Famous site,Africa,"Habous Quarter / Nouvelle Médina (Casablanca, 1917–1950s)"
Famous site,Africa,"Hassan II Mosque (Casablanca, 1993)"
Famous site,Africa,Rabat Ville Nouvelle and Avenue Mohammed V (from 1912)
Famous site,Africa,"Mausoleum of Mohammed V (Rabat, 1971)"
Famous site,Africa,"Faidherbe Bridge (Saint-Louis, Senegal, 1897)"
Famous site,Africa,"Dakar Railway Station (Senegal, 1913)"
Famous site,Africa,Grand Mosque of Dakar (1964)
Famous site,Africa,"Black Star Square / Independence Arch (Accra, Ghana, 1961)"
Famous site,Africa,"Kwame Nkrumah Memorial Park (Accra, 1992)"
Famous site,Africa,"National Theatre (Lagos, Nigeria, 1976)"
Famous site,Africa,"Basilica of Our Lady of Peace (Yamoussoukro, Côte d’Ivoire, 1990)"
Famous site,Africa,"St. Paul’s Cathedral (Abidjan, 1989)"
Famous site,Africa,"Menelik II Palace (Addis Ababa, Ethiopia, 1886–1890)"
Famous site,Africa,"St. George’s Cathedral (Addis Ababa, 1911)"
Famous site,Africa,"Holy Trinity Cathedral (Addis Ababa, 1942)"
Famous site,Africa,"Fiat Tagliero Building (Asmara, Eritrea, 1938)"
Famous site,Africa,"Mogadishu Cathedral (Somalia, 1928)"
Famous site,Africa,"KICC – Kenyatta International Convention Centre (Nairobi, Kenya, 1973)"
Famous site,Africa,"Mombasa Tusks (Kenya, 1952)"
Famous site,Africa,"Askari Monument (Dar es Salaam, Tanzania, 1927)"
Famous site,Africa,"House of Wonders / Beit al-Ajaib (Zanzibar City, 1883)"
Famous site,Africa,"Palais de la Nation (Kinshasa, DRC, 1956)"
Famous site,Africa,"Basilique Sainte-Anne-du-Congo (Brazzaville, Republic of the Congo, 1949)"
Famous site,Africa,"Reunification Monument (Yaoundé, Cameroon, 1972)"
Famous site,Africa,"St. Michael Cathedral (Libreville, Gabon, 1960s)"
Famous site,Africa,"Notre-Dame Cathedral (Bangui, CAR, 1937)"
Famous site,Africa,"CFCO Railway Station (Pointe-Noire, Republic of the Congo, 1934)"
Famous site,Africa,"Union Buildings (Pretoria, South Africa, 1913)"
Famous site,Africa,"Voortrekker Monument (Pretoria, 1949)"
Famous site,Africa,"Constitution Hill / Old Fort and Number Four (Johannesburg, 1893–20th c.)"
Famous site,Africa,"Hector Pieterson Memorial (Soweto, 1992)"
Famous site,Africa,"Robben Island Maximum Security Prison (near Cape Town, 1961)"
Famous site,Africa,"District Six Museum (Cape Town, 1994)"
Famous site,Africa,"Christuskirche (Windhoek, Namibia, 1910)"
Famous site,Africa,"Tintenpalast (Windhoek, 1913)"
Famous site,Africa,"Maputo Railway Station (Mozambique, 1916)"
Famous site,Africa,"Aapravasi Ghat (Port Louis, Mauritius, 1849)"
Famous site,Africa,"Rova of Antananarivo – Manjakamiadana (Madagascar, 1867–1872)"
Famous site,"South America, Central America and the Caribbean","Amazon Rainforest (Brazil, Peru, Colombia, etc.)"
Famous site,"South America, Central America and the Caribbean",Andes Mountains (Venezuela to Chile/Argentina)
Famous site,"South America, Central America and the Caribbean",Angel Falls (Venezuela)
Famous site,"South America, Central America and the Caribbean",Galápagos Islands (Ecuador)
Famous site,"South America, Central America and the Caribbean",Atacama Desert (Chile)
Famous site,"South America, Central America and the Caribbean",Uyuni Salt Flats (Bolivia)
Famous site,"South America, Central America and the Caribbean",Iguazú Falls (Argentina–Brazil border)
Famous site,"South America, Central America and the Caribbean","Pantanal Wetlands (Brazil, Bolivia, Paraguay)"
Famous site,"South America, Central America and the Caribbean",Gran Sabana (Venezuela)
Famous site,"South America, Central America and the Caribbean",Chimborazo Volcano (Ecuador)
Famous site,"South America, Central America and the Caribbean",Aconcagua (Argentina)
Famous site,"South America, Central America and the Caribbean",Torres del Paine (Chile)
Famous site,"South America, Central America and the Caribbean",Patagonia Ice Fields (Chile–Argentina)
Famous site,"South America, Central America and the Caribbean",Lake Titicaca (Peru–Bolivia)
Famous site,"South America, Central America and the Caribbean",Orinoco River (Venezuela–Colombia)
Famous site,"South America, Central America and the Caribbean",Darien Gap (Panama–Colombia)
Famous site,"South America, Central America and the Caribbean",Arenal Volcano (Costa Rica)
Famous site,"South America, Central America and the Caribbean",Monteverde Cloud Forest (Costa Rica)
Famous site,"South America, Central America and the Caribbean",Blue Hole (Belize)
Famous site,"South America, Central America and the Caribbean",Pitons (Saint Lucia)
Famous site,"South America, Central America and the Caribbean",El Yunque Rainforest (Puerto Rico)
Famous site,"South America, Central America and the Caribbean",Soufrière Hills Volcano (Montserrat)
Famous site,"South America, Central America and the Caribbean",Paraná River Delta (Argentina)
Famous site,"South America, Central America and the Caribbean",Lençóis Maranhenses National Park (Brazil)
Famous site,"South America, Central America and the Caribbean","Mount Roraima (Venezuela, Brazil, Guyana)"
Famous site,"South America, Central America and the Caribbean",Colca Canyon (Peru)
Famous site,"South America, Central America and the Caribbean",Perito Moreno Glacier (Argentina)
Famous site,"South America, Central America and the Caribbean",Los Roques Archipelago (Venezuela)
Famous site,"South America, Central America and the Caribbean",Cotopaxi Volcano (Ecuador)
Famous site,"South America, Central America and the Caribbean",Kaieteur Falls (Guyana)
Famous site,"South America, Central America and the Caribbean","Marble Caves (Capillas de Mármol, Chile)"
Famous site,"South America, Central America and the Caribbean",Serra dos Órgãos National Park (Brazil)
Famous site,"South America, Central America and the Caribbean",Monte Verde (Chile)
Famous site,"South America, Central America and the Caribbean",Pedra Furada (Brazil)
Famous site,"South America, Central America and the Caribbean",Cueva de las Manos (Argentina)
Famous site,"South America, Central America and the Caribbean",Serra da Capivara (Brazil)
Famous site,"South America, Central America and the Caribbean",Lagoa Santa Caves (Brazil)
Famous site,"South America, Central America and the Caribbean",Tequendama Falls Rock Shelter (Colombia)
Famous site,"South America, Central America and the Caribbean",El Abra (Colombia)
Famous site,"South America, Central America and the Caribbean",Pikimachay Cave (Peru)
Famous site,"South America, Central America and the Caribbean",Toca da Tira Peia (Brazil)
Famous site,"South America, Central America and the Caribbean",Taima-Taima (Venezuela)
Famous site,"South America, Central America and the Caribbean",Machu Picchu (Peru)
Famous site,"South America, Central America and the Caribbean",Sacsayhuamán (Peru)
Famous site,"South America, Central America and the Caribbean",Ollantaytambo (Peru)
Famous site,"South America, Central America and the Caribbean",Choquequirao (Peru)
Famous site,"South America, Central America and the Caribbean",Coricancha (Peru)
Famous site,"South America, Central America and the Caribbean",Nazca Lines (Peru)
Famous site,"South America, Central America and the Caribbean",Chan Chan (Peru)
Famous site,"South America, Central America and the Caribbean",Caral (Peru)
Famous site,"South America, Central America and the Caribbean",Pachacamac (Peru)
Famous site,"South America, Central America and the Caribbean",Tiwanaku (Bolivia)
Famous site,"South America, Central America and the Caribbean",Pumapunku (Bolivia)
Famous site,"South America, Central America and the Caribbean",Samaipata (Bolivia)
Famous site,"South America, Central America and the Caribbean",Ciudad Perdida (Colombia)
Famous site,"South America, Central America and the Caribbean",San Agustín Archaeological Park (Colombia)
Famous site,"South America, Central America and the Caribbean",El Infiernito (Colombia)
Famous site,"South America, Central America and the Caribbean",Ingapirca (Ecuador)
Famous site,"South America, Central America and the Caribbean",Cochasquí Pyramids (Ecuador)
Famous site,"South America, Central America and the Caribbean",Tulipe (Ecuador)
Famous site,"South America, Central America and the Caribbean",Cerro Sechín (Peru)
Famous site,"South America, Central America and the Caribbean",Kuelap (Peru)
Famous site,"South America, Central America and the Caribbean",Tikal (Guatemala)
Famous site,"South America, Central America and the Caribbean",Uaxactún (Guatemala)
Famous site,"South America, Central America and the Caribbean",Quiriguá (Guatemala)
Famous site,"South America, Central America and the Caribbean",Copán (Honduras)
Famous site,"South America, Central America and the Caribbean",El Mirador (Guatemala)
Famous site,"South America, Central America and the Caribbean",Kaminaljuyú (Guatemala)
Famous site,"South America, Central America and the Caribbean",Yaxchilán (Mexico–Guatemala border)
Famous site,"South America, Central America and the Caribbean","Calakmul (Mexico, near Guatemala)"
Famous site,"South America, Central America and the Caribbean",Lamanai (Belize)
Famous site,"South America, Central America and the Caribbean",Xunantunich (Belize)
Famous site,"South America, Central America and the Caribbean",Caracol (Belize)
Famous site,"South America, Central America and the Caribbean",Altun Ha (Belize)
Famous site,"South America, Central America and the Caribbean",Cerén (El Salvador)
Famous site,"South America, Central America and the Caribbean",Tazumal (El Salvador)
Famous site,"South America, Central America and the Caribbean",Joya de Cerén (El Salvador)
Famous site,"South America, Central America and the Caribbean",Monte Albán influence sites (regional)
Famous site,"South America, Central America and the Caribbean",Caguana Ceremonial Ball Courts (Puerto Rico)
Famous site,"South America, Central America and the Caribbean",Tibes Indigenous Ceremonial Center (Puerto Rico)
Famous site,"South America, Central America and the Caribbean",Taino Caves of Pomier (Dominican Republic)
Famous site,"South America, Central America and the Caribbean",El Chorro de Maíta (Cuba)
Famous site,"South America, Central America and the Caribbean"," Bateyes / Taino Ball Courts of Cuba (Baní, Cuba)"
Famous site,"South America, Central America and the Caribbean",Saint Lucia Petroglyphs
Famous site,"South America, Central America and the Caribbean",Taino Rock Art in Jamaica
Famous site,"South America, Central America and the Caribbean",Montserrat Petroglyphs
Famous site,"South America, Central America and the Caribbean",Obelisco de Buenos Aires (Argentina)
Famous site,"South America, Central America and the Caribbean","Palacio Salvo (Montevideo, Uruguay)"
Famous site,"South America, Central America and the Caribbean","Palacio de las Garzas (Panama City, Panama)"
Famous site,"South America, Central America and the Caribbean","Teatro Nacional Rubén Darío (Managua, Nicaragua)"
Famous site,"South America, Central America and the Caribbean","Teatro Nacional de Costa Rica (San José, Costa Rica)"
Famous site,"South America, Central America and the Caribbean","Palacio de los Capitanes Generales (Havana, Cuba)"
Famous site,"South America, Central America and the Caribbean","Castillo de la Real Fuerza (Havana, Cuba)"
Famous site,"South America, Central America and the Caribbean","Fortaleza Ozama (Santo Domingo, Dominican Republic)"
Famous site,"South America, Central America and the Caribbean","El Capitolio (Havana, Cuba)"
Famous site,"South America, Central America and the Caribbean","Castillo San Felipe de Barajas (Cartagena, Colombia)"
Famous site,"South America, Central America and the Caribbean","Palacio de Miraflores (Caracas, Venezuela)"
Famous site,"South America, Central America and the Caribbean","Palacio de las Academias (Caracas, Venezuela)"
Famous site,"South America, Central America and the Caribbean","Palacio de la Moneda Chica (La Paz, Bolivia)"
Famous site,"South America, Central America and the Caribbean",Teatro Municipal de Santiago (Chile)
Famous site,"South America, Central America and the Caribbean","Palacio de Justicia (Bogotá, Colombia)"
Famous site,"South America, Central America and the Caribbean","National Palace (San Salvador, El Salvador)"
Famous site,"South America, Central America and the Caribbean","Plaza de Armas (Lima, Peru)"
Famous site,"South America, Central America and the Caribbean","Palacio de la Inquisición (Cartagena, Colombia)"
Famous site,"South America, Central America and the Caribbean","National Palace (Guatemala City, Guatemala)"
Famous site,"South America, Central America and the Caribbean","Palacio Itamaraty (Brasília, Brazil)"
Famous site,"South America, Central America and the Caribbean",Fort San Felipe del Morro (Puerto Rico)
Famous site,"South America, Central America and the Caribbean",Castillo de San Marcos (Dominican Republic)
Famous site,"South America, Central America and the Caribbean",Fort Zeelandia (Suriname)
Famous site,"South America, Central America and the Caribbean",Christ the Redeemer (Brazil)
Famous site,"South America, Central America and the Caribbean",Sugarloaf Mountain (Brazil)
Famous site,"South America, Central America and the Caribbean",Metropolitan Cathedral of Brasília (Brazil)
Famous site,"South America, Central America and the Caribbean",National Congress (Brazil)
Famous site,"South America, Central America and the Caribbean",National Museum of Anthropology (Mexico)
Famous site,"South America, Central America and the Caribbean","Gold Museum (Bogotá, Colombia)"
Famous site,"South America, Central America and the Caribbean",Museum of the Nation (Peru)
Famous site,"South America, Central America and the Caribbean",Malba – Museum of Latin American Art (Argentina)
Famous site,"South America, Central America and the Caribbean",Teatro Colón (Argentina)
Famous site,"South America, Central America and the Caribbean",Teatro Amazonas (Brazil)
Famous site,"South America, Central America and the Caribbean",Palacio de Bellas Artes (Mexico)
Famous site,"South America, Central America and the Caribbean",Casa de la Cultura Ecuatoriana (Ecuador)
Famous site,"South America, Central America and the Caribbean",National Pantheon of the Heroes (Paraguay)
Famous site,"South America, Central America and the Caribbean",Monument to the Heroes of Independence (Suriname/Guyana region)
Famous site,"South America, Central America and the Caribbean",Memorial da América Latina (Brazil)
Famous site,"South America, Central America and the Caribbean",Serra da Capivara National Park (Brazil)
Famous site,"South America, Central America and the Caribbean",Chavín de Huántar (Peru)
Famous site,"South America, Central America and the Caribbean",Sipán Tombs (Peru)
Famous site,"South America, Central America and the Caribbean",Huaca del Sol y de la Luna (Peru)
Famous site,"South America, Central America and the Caribbean",Huaca Pucllana (Peru)
Famous site,"South America, Central America and the Caribbean","Tulum (Mexico, regional)"
Famous site,"South America, Central America and the Caribbean",Coba (Belize/Guatemala region)
Famous site,"South America, Central America and the Caribbean",Bonampak Murals (Guatemala influence)
Famous site,"South America, Central America and the Caribbean",Toniná (Guatemala–Mexico)
Famous site,"South America, Central America and the Caribbean",Palenque influence (Central America)
Famous site,"South America, Central America and the Caribbean",Medellín Comuna 13 Street Art District (Colombia)
Famous site,"South America, Central America and the Caribbean",La Boca Neighborhood (Argentina)
Famous site,"South America, Central America and the Caribbean",Caminito Street (Argentina)
Famous site,"South America, Central America and the Caribbean",Ibirapuera Park (Brazil)
Famous site,"South America, Central America and the Caribbean",National Congress of Chile (Valparaíso)
Famous site,"South America, Central America and the Caribbean",Palacio de La Moneda (Chile)
Famous site,"South America, Central America and the Caribbean",Plaza de Mayo (Argentina)
Famous site,"South America, Central America and the Caribbean","Plaza Bolívar (Colombia, Venezuela, Ecuador)"
Famous site,"South America, Central America and the Caribbean",Angel of Independence (Mexico City)
Famous site,"South America, Central America and the Caribbean","Simón Bolívar Memorials (Venezuela, Colombia, Ecuador, Bolivia, Peru)"
Famous site,"South America, Central America and the Caribbean",Monumental Axis of Brasília (Brazil)
Famous site,"South America, Central America and the Caribbean",National Library of Argentina (Buenos Aires)
Famous site,"South America, Central America and the Caribbean",National Library of Chile (Santiago)
Famous site,"South America, Central America and the Caribbean",Museum of Memory (Chile)
Famous site,"South America, Central America and the Caribbean",Museum of Afro-Brazilian History (Salvador de Bahia)
Famous site,"South America, Central America and the Caribbean",Tango Districts of Buenos Aires (Argentina)
Famous site,Asia,Mount Everest
Famous site,Asia,Mount Fuji
Famous site,Asia,Mount Kinabalu
Famous site,Asia,Mount Ararat
Famous site,Asia,Mount Damavand
Famous site,Asia,Mount Elbrus
Famous site,Asia,Mount Kailash
Famous site,Asia,Sigiriya Rock
Famous site,Asia,Lake Baikal
Famous site,Asia,Dead Sea
Famous site,Asia,Caspian Sea
Famous site,Asia,Lake Issyk-Kul
Famous site,Asia,Tonlé Sap Lake
Famous site,Asia,Gobi Desert
Famous site,Asia,Tibetan Plateau
Famous site,Asia,Son Doong Cave
Famous site,Asia,Ajanta Caves natural setting
Famous site,Asia,Reed Flute Cave
Famous site,Asia,Jeita Grotto
Famous site,Asia,Batu Caves
Famous site,Asia,Jog Falls
Famous site,Asia,Huangguoshu Waterfall
Famous site,Asia,Ban Gioc–Detian Falls
Famous site,Asia,Dudhsagar Falls
Famous site,Asia,Kuang Si Falls
Famous site,Asia,Sundarbans Mangrove Forest
Famous site,Asia,Jeju Island
Famous site,Asia,Komodo Islands
Famous site,Asia,Raja Ampat Islands
Famous site,Asia,Tiger Leaping Gorge
Famous site,Asia,Hunza Valley
Famous site,Asia,Wadi Rum
Famous site,Asia,Zhangjiajie National Forest Park
Famous site,Asia,Yarlung Tsangpo Grand Canyon
Famous site,Asia,Krakatoa
Famous site,Asia,Taal Volcano
Famous site,Asia,Mohenjo-Daro (Pakistan)
Famous site,Asia,Harappa (Pakistan)
Famous site,Asia,Mehrgarh (Pakistan)
Famous site,Asia,Taxila (Pakistan)
Famous site,Asia,Persepolis (Iran)
Famous site,Asia,Pasargadae (Iran)
Famous site,Asia,Susa (Iran)
Famous site,Asia,Ur (Iraq)
Famous site,Asia,Babylon (Iraq)
Famous site,Asia,Nineveh (Iraq)
Famous site,Asia,Hatra (Iraq)
Famous site,Asia,Palmyra (Syria)
Famous site,Asia,Ugarit (Syria)
Famous site,Asia,Mari (Syria)
Famous site,Asia,Petra (Jordan)
Famous site,Asia,Byblos (Lebanon)
Famous site,Asia,Baalbek (Lebanon)
Famous site,Asia,Jerusalem Old City (Israel/Palestine)
Famous site,Asia,Masada (Israel)
Famous site,Asia,Shibam (Yemen – “Manhattan of the Desert”)
Famous site,Asia,Taj Mahal (India)
Famous site,Asia,Red Fort (India)
Famous site,Asia,Qutub Minar (India)
Famous site,Asia,Humayun’s Tomb (India)
Famous site,Asia,Fatehpur Sikri (India)
Famous site,Asia,Agra Fort (India)
Famous site,Asia,Ajanta Caves (India)
Famous site,Asia,Ellora Caves (India)
Famous site,Asia,Elephanta Caves (India)
Famous site,Asia,Sanchi Stupa (India)
Famous site,Asia,Mahabalipuram (India)
Famous site,Asia,Brihadeeswarar Temple (India)
Famous site,Asia,Konark Sun Temple (India)
Famous site,Asia,Khajuraho Temples (India)
Famous site,Asia,Golden Temple of Amritsar (India)
Famous site,Asia,Mysore Palace (India)
Famous site,Asia,Hampi (India)
Famous site,Asia,Golconda Fort (India)
Famous site,Asia,Nalanda University ruins (India)
Famous site,Asia,Shwedagon Pagoda (Myanmar)
Famous site,Asia,Angkor Wat (Cambodia)
Famous site,Asia,Angkor Thom (Cambodia)
Famous site,Asia,Bayon Temple (Cambodia)
Famous site,Asia,Bagan Temples (Myanmar)
Famous site,Asia,Borobudur (Indonesia)
Famous site,Asia,Prambanan (Indonesia)
Famous site,Asia,Dieng Plateau temples (Indonesia)
Famous site,Asia,Wat Pho (Thailand)
Famous site,Asia,Wat Arun (Thailand)
Famous site,Asia,Grand Palace (Thailand)
Famous site,Asia,Ayutthaya ruins (Thailand)
Famous site,Asia,Sukhothai (Thailand)
Famous site,Asia,Luang Prabang (Laos)
Famous site,Asia,My Son Sanctuary (Vietnam)
Famous site,Asia,Imperial Citadel of Hue (Vietnam)
Famous site,Asia,Thang Long Imperial Citadel (Vietnam)
Famous site,Asia,Hoi An Ancient Town (Vietnam)
Famous site,Asia,Banaue Rice Terraces (Philippines)
Famous site,Asia,Intramuros (Philippines)
Famous site,Asia,San Agustin Church (Philippines)
Famous site,Asia,Great Wall of China
Famous site,Asia,Forbidden City (Beijing)
Famous site,Asia,Summer Palace (Beijing)
Famous site,Asia,Temple of Heaven (Beijing)
Famous site,Asia,Ming Tombs (China)
Famous site,Asia,Terracotta Army at Xi’an
Famous site,Asia,Mogao Caves (Dunhuang)
Famous site,Asia,Longmen Grottoes
Famous site,Asia,Yungang Grottoes
Famous site,Asia,Mount Tai
Famous site,Asia,Leshan Giant Buddha
Famous site,Asia,Dazu Rock Carvings
Famous site,Asia,"Potala Palace (Lhasa, Tibet)"
Famous site,Asia,Jokhang Temple (Tibet)
Famous site,Asia,Labrang Monastery (Tibet)
Famous site,Asia,Kaifeng Iron Pagoda
Famous site,Asia,Suzhou Classical Gardens
Famous site,Asia,Pingyao Ancient City
Famous site,Asia,Lijiang Old Town
Famous site,Asia,Kyoto Historic Temples (Japan)
Famous site,Asia,Nara Historic Monuments (Japan)
Famous site,Asia,Himeji Castle (Japan)
Famous site,Asia,Osaka Castle (Japan)
Famous site,Asia,Tokyo Imperial Palace (Japan)
Famous site,Asia,Hiroshima Peace Memorial (Genbaku Dome)
Famous site,Asia,Itsukushima Shrine (Japan)
Famous site,Asia,Nikko Shrines and Temples (Japan)
Famous site,Asia,Mount Koya Monasteries (Japan)
Famous site,Asia,Okinawa Shuri Castle (Japan)
Famous site,Asia,Bulguksa Temple (South Korea)
Famous site,Asia,Seokguram Grotto (South Korea)
Famous site,Asia,Changdeokgung Palace (South Korea)
Famous site,Asia,Gyeongbokgung Palace (South Korea)
Famous site,Asia,Hwaseong Fortress (South Korea)
Famous site,Asia,Hahoe Folk Village (South Korea)
Famous site,Asia,Jongmyo Shrine (South Korea)
Famous site,Asia,Tripitaka Koreana (Haeinsa Temple)
Famous site,Asia,Dolmens of Korea
Famous site,Asia,Samarkand (Uzbekistan)
Famous site,Asia,Registan Square (Samarkand)
Famous site,Asia,Bukhara (Uzbekistan)
Famous site,Asia,Khiva (Uzbekistan)
Famous site,Asia,Merv (Turkmenistan)
Famous site,Asia,Gonur Depe (Turkmenistan)
Famous site,Asia,Tash Rabat Caravanserai (Kyrgyzstan)
Famous site,Asia,Osh Bazaar (Kyrgyzstan)
Famous site,Asia,"Astana-Baiterek Tower (Kazakhstan, modern symbol)"
Famous site,Asia,Mausoleum of Khoja Ahmed Yasawi (Kazakhstan)
Famous site,Asia,Almaty Ascension Cathedral (Kazakhstan)
Famous site,Asia,Derbent Fortress (Russia – Caspian Gate)
Famous site,Asia,Etchmiadzin Cathedral (Armenia)
Famous site,Asia,Ani Ruins (Turkey/Armenia border)
Famous site,Asia,Zoroastrian Towers of Silence (Iran)
Famous site,Asia,Zoroastrian Fire Temples (Iran)
Famous site,Asia,Bam Citadel (Iran)
Famous site,Asia,Yazd Old Town (Iran)
Famous site,Asia,Isfahan Imam Square (Iran)
Famous site,Asia,Dome of the Rock (Jerusalem)
Famous site,Asia,Al-Aqsa Mosque (Jerusalem)
Famous site,Asia,Church of the Holy Sepulchre (Jerusalem)
Famous site,Asia,Damascus Umayyad Mosque (Syria)
Famous site,Asia,Aleppo Citadel (Syria)
Famous site,Asia,Krak des Chevaliers (Syria)
Famous site,Asia,Great Mosque of Samarra (Iraq)
Famous site,Asia,"Imam Ali Shrine (Najaf, Iraq)"
Famous site,Asia,"Al-Askari Mosque (Samarra, Iraq)"
Famous site,Asia,Erbil Citadel (Iraq)
Famous site,Asia,"Hagia Sophia (Turkey, though transcontinental)"
Famous site,Asia,Topkapi Palace (Turkey)
Famous site,Asia,"Blue Mosque (Istanbul, Turkey)"
Famous site,Asia,Cappadocia Cave Dwellings (Turkey)
Famous site,Asia,Mount Nemrut (Turkey)
Famous site,Asia,Göbekli Tepe (Turkey – oldest known temple complex)
Famous site,Asia,Mecca Kaaba & Masjid al-Haram (Saudi Arabia)
Famous site,Asia,Medina Al-Masjid an-Nabawi (Saudi Arabia)
Famous site,Asia,Diriyah (Saudi Arabia)
Famous site,Asia,Al-Ula & Hegra (Saudi Arabia)
Famous site,Asia,Hiroshima Peace Park (Japan)
Famous site,Asia,Tokyo Tower (Japan)
Famous site,Asia,Taipei 101 (Taiwan)
Famous site,Asia,Marina Bay Sands (Singapore)
Famous site,Asia,Merlion Park (Singapore)
Famous site,Asia,Petronas Towers (Malaysia)
Famous site,Asia,Independence Palace (Vietnam)
Famous site,Asia,Ho Chi Minh Mausoleum (Vietnam)
Famous site,Asia,Lotus Temple (India)
Famous site,Asia,"Akshardham Temple (Delhi, India)"
Famous site,Asia,Rashtrapati Bhavan (India)
Famous site,Asia,India Gate (Delhi)
Famous site,Asia,"Victoria Memorial (Kolkata, India)"
Famous site,Asia,Gateway of India (Mumbai)
Famous site,Asia,"Charminar (Hyderabad, India)"
Famous site,Asia,"Jantar Mantar (Jaipur, India)"
Famous site,Asia,Spring Temple Buddha (China)
Famous site,Asia,Giant Buddha of Leshan (China)
Famous site,Asia,Oriental Pearl Tower (Shanghai)
Famous site,Asia,Tiananmen Square (Beijing)
Famous site,Asia,National Chiang Kai-shek Memorial Hall (Taiwan)
Famous site,Asia,Sheikh Zayed Grand Mosque (UAE)
Famous site,Asia,"Burj Khalifa (Dubai, UAE)"
Famous site,Asia,"Palm Jumeirah (Dubai, UAE)"
